step,S,I,L,R,phase,total,pct_infected
0,77,1,0,0,weekday,78,1.28
1,75,3,0,0,weekday,78,3.85
2,73,5,0,0,weekday,78,6.41
3,71,5,1,1,weekday,78,7.69
4,69,7,1,1,weekday,78,10.26
5,64,11,1,2,weekend,78,15.38
6,60,12,4,2,weekend,78,20.51
7,54,11,9,4,weekday,78,25.64
8,49,12,12,5,weekday,78,30.77
9,44,13,11,10,weekday,78,30.77
10,38,11,14,15,weekday,78,32.05
11,32,13,11,22,weekday,78,30.77
12,29,12,10,27,weekend,78,28.21
13,25,13,5,35,weekend,78,23.08
14,20,14,6,38,weekday,78,25.64
15,19,12,8,39,weekday,78,25.64
16,17,7,13,41,weekday,78,25.64
17,16,5,10,47,weekday,78,19.23
18,16,5,7,50,weekday,78,15.38
19,14,3,7,54,weekend,78,12.82
20,13,4,4,57,weekend,78,10.26
21,12,3,6,57,weekday,78,11.54
22,12,2,1,63,weekday,78,3.85
23,12,2,1,63,weekday,78,3.85
24,12,1,1,64,weekday,78,2.56
25,12,1,1,64,weekday,78,2.56
26,12,0,2,64,weekend,78,2.56
27,12,0,1,65,weekend,78,1.28
28,12,0,1,65,weekday,78,1.28
29,12,0,0,66,weekday,78,0.0
